Time_Step,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Price_Movement,Target_Close_7d,Price_Increase_7d,Daily_Return,Volatility,SMA_7,SMA_30,SMA_100,Std_Dev_100,Upper_Band,Lower_Band,Momentum_ROC,Sentiment_Score
101,6.134,6.148,5.784,5.978,5.978,4780500,3,11,1.052,7.066,1,0.013564,0.055964,5.916857,4.679,4.20958,0.561783,5.333146,3.086014,25.1151,10
102,6.032,6.274,5.94,6.198,6.198,5752500,4,11,0.326,6.87,1,0.036802,0.055991,5.963429,4.7494,4.2239,0.593467,5.410834,3.036966,30.0462,10
103,6.314,6.69,6.3,6.68,6.68,7648500,0,11,1.072,6.47,0,0.077767,0.057084,6.116571,4.837133,4.24678,0.642123,5.531026,2.962534,52.0947,10
104,6.658,7.136,6.438,6.914,6.914,7889000,1,11,0.946,6.298,0,0.03503,0.056972,6.251714,4.932667,4.27752,0.693942,5.665404,2.889636,80.05210000000001,10
105,7.054,7.194,6.866,7.094,7.094,7125000,2,11,0.934,6.062,0,0.026034,0.056971,6.385143,5.0322,4.31624,0.740888,5.798016,2.834464,120.1738,0
106,7.12,7.2,6.95,7.064,7.064,1753000,4,11,1.13,6.312,0,-0.004229,0.056563,6.546571,5.129333,4.35528,0.781112,5.917504,2.793056,123.5443,0
107,7.082,7.19,6.666,6.866,6.866,5728000,0,11,0.968,6.474,0,-0.028029,0.057701,6.684857,5.221267,4.38902,0.815556,6.020132,2.757908,96.6208,0
108,6.748,7.066,6.682,7.066,7.066,11113000,1,11,1.088,6.41,0,0.029129,0.057694,6.840286,5.321933,4.42488,0.853154,6.131188,2.718572,103.046,0
109,7.174,7.284,6.69,6.87,6.87,6496000,2,12,0.672,6.304,0,-0.027738,0.058029,6.936286,5.417267,4.45948,0.881277,6.222034,2.696926,101.4663,10
110,6.802,6.86,6.24,6.47,6.47,10035000,3,12,-0.21,6.11,0,-0.058224,0.060424,6.906286,5.495267,4.4879,0.899822,6.287544,2.688256,78.3352,10
111,6.402,6.45,6.174,6.298,6.298,5800500,4,12,-0.616,5.706,0,-0.026584,0.061333,6.818286,5.566867,4.5112,0.916241,6.343682,2.678718,58.7198,10
112,6.27,6.29,5.912,6.062,6.062,6372000,0,12,-1.032,5.92,0,-0.037472,0.055425,6.670857,5.6308,4.53204,0.92762,6.38728,2.6768,52.3881,10
113,6.098,6.48,6.01,6.312,6.312,6556500,1,12,-0.752,6.162,0,0.041241,0.055381,6.563429,5.7022,4.55388,0.943584,6.441048,2.666712,52.907,10
114,6.496,6.498,6.304,6.474,6.474,3300000,2,12,-0.392,6.272,0,0.025665,0.055414,6.507429,5.7756,4.5748,0.962731,6.500262,2.649338,47.7408,10
115,6.502,6.544,6.33,6.41,6.41,2030000,3,12,-0.656,6.34,0,-0.009886,0.055318,6.413714,5.849267,4.5983,0.978589,6.555478,2.641122,57.881800000000005,10
116,6.41,6.584,6.226,6.304,6.304,2147000,4,12,-0.566,6.452,1,-0.016537,0.037655,6.332857,5.918133,4.6209,0.991668,6.604236,2.637564,55.8853,0
117,6.328,6.354,6.08,6.11,6.11,2052000,0,12,-0.36,6.526,1,-0.030774,0.036851,6.281429,5.9762,4.64,1.001821,6.643642,2.636358,45.4762,0
118,6.058,6.078,5.552,5.706,5.706,8828500,1,12,-0.592,6.018,1,-0.066121,0.037306,6.196857,6.023667,4.65448,1.006697,6.667874,2.641086,34.0066,0
119,5.734,5.994,5.706,5.92,5.92,3714500,2,12,-0.142,5.11,0,0.037504,0.037564,6.176571,6.079333,4.67178,1.013476,6.698732,2.644828,41.2888,0
120,6.0,6.182,5.93,6.162,6.162,3950500,3,12,-0.15,5.282,0,0.040878,0.037715,6.155143,6.1396,4.6923,1.022718,6.737736,2.646864,49.927,10
121,6.268,6.308,6.142,6.272,6.272,4065000,4,12,-0.202,5.546,0,0.017851,0.037805,6.126286,6.182667,4.71358,1.033279,6.780138,2.647022,51.351400000000005,10
122,6.328,6.438,6.252,6.34,6.34,2617000,0,12,-0.07,5.3,0,0.010842,0.037774,6.116286,6.231067,4.73628,1.043878,6.824036,2.648524,55.774,10
123,6.36,6.538,6.342,6.452,6.452,3888500,1,12,0.148,5.326,0,0.017666,0.037156,6.137429,6.2796,4.76092,1.055057,6.871034,2.650806,61.7854,10
124,6.45,6.572,6.34,6.526,6.526,4166500,2,12,0.416,5.324,0,0.011469,0.033036,6.196857,6.332933,4.78434,1.068035,6.92041,2.64827,55.9751,10
125,6.252,6.496,5.984,6.018,6.018,7763000,3,12,0.312,5.334,0,-0.077842,0.036,6.241429,6.3378,4.80062,1.074353,6.949326,2.651914,37.0843,10
126,5.604,5.716,5.012,5.11,5.11,46509500,0,12,-0.81,5.366,1,-0.150881,0.047122,6.125714,6.3212,4.8092,1.073353,6.955906,2.662494,20.1787,10
127,5.17,5.35,5.0,5.282,5.282,20281500,1,12,-0.88,5.576,1,0.033659,0.048242,6.0,6.298333,4.82112,1.071903,6.964926,2.677314,29.1443,0
128,5.406,5.602,5.3,5.546,5.546,16596000,2,12,-0.726,5.648,1,0.049981,0.049965,5.896286,6.277867,4.8374,1.07041,6.97822,2.69658,41.5518,0
129,5.54,5.58,5.276,5.3,5.3,10205500,3,12,-1.04,5.69,1,-0.044356,0.049744,5.747714,6.256733,4.8512,1.067354,6.985908,2.716492,35.2041,0
130,5.314,5.45,5.3,5.326,5.326,7089500,4,12,-1.126,5.392,1,0.004906,0.04975,5.586857,6.237667,4.8664,1.063134,6.992668,2.740132,39.9369,0
131,5.368,5.4,5.18,5.324,5.324,6415000,0,1,-1.202,5.392,1,-0.000376,0.048581,5.415143,6.215867,4.88384,1.0561,6.99604,2.77164,48.7151,10
132,5.332,5.39,5.204,5.334,5.334,5937000,1,1,-0.684,5.244,0,0.001878,0.048435,5.317429,6.187067,4.90198,1.047985,6.99795,2.80601,51.5341,10
133,5.296,5.38,5.238,5.366,5.366,7233500,2,1,0.256,5.15,0,0.005999,0.047981,5.354,6.143267,4.919,1.041477,7.001954,2.836046,46.452,10
